FECHA;PRECIP;TMAX;TMIN;TMEAN;DIAS_FALTANTES;PET;D;SPI_3;SPI_12;SPEI_3;SPEI_12
2002-06-01;134.2;30.103448275862068;17.56896551724138;23.836206896551722;0;105.1293450891793;29.070654910820693;-0.4393939483270422;-0.6141655123306834;-0.8096568738615669;-1.0520898840765942
2002-07-01;227.03;27.5;16.5;22.0;0;89.73007865520931;137.29992134479068;-0.8198053472310433;-0.060982672707033274;-0.9605168030584396;-1.6783296589960495
2002-08-01;167.41;27.661290322580644;16.370967741935484;22.016129032258064;0;89.88704274865162;77.52295725134837;-1.1416818378689308;-1.3969589082482006;-1.1571726374160096;-1.4104772913464847
2002-09-01;168.81;26.8;16.75;21.775;0;84.73259841417584;84.07740158582416;-1.068285934106631;-1.1185621943605772;-1.1305603438754468;-1.3149921017493946
2002-10-01;79.61999999999999;27.048387096774192;16.14516129032258;21.596774193548384;0;85.85762498844694;-6.237624988446953;-0.35166652650011715;-0.9558202367649347;-0.41456839553524033;-1.209603308957422
2002-11-01;39.81;24.233333333333334;12.55;18.391666666666666;0;56.64408343990473;-16.83408343990473;0.37827220887432456;-0.6799418605030298;0.4595331779179328;-0.9054501285042021
2002-12-01;0.0;23.483870967741936;10.596774193548388;17.04032258064516;0;48.792619799918675;-48.792619799918675;0.8995211881721562;-0.6358156093065259;1.009092090842484;-0.8107629042207208
2003-01-01;0.8;23.919354838709676;11.64516129032258;17.782258064516128;0;54.58424733503243;-53.78424733503243;0.30882883233089325;-0.9145891565802491;0.7334719723196697;-1.145841862128242
2003-02-01;0.0;26.696428571428573;12.339285714285714;19.517857142857142;0;61.40676262802772;-61.40676262802772;-0.12131782231492991;-1.187866430690204;-0.4546785566077279;-1.7419175119299948
2003-03-01;0.0;28.306451612903224;12.85483870967742;20.58064516129032;0;77.03841235289511;-77.03841235289511;-0.2576167132688787;-1.2239557357989188;-0.2611190097321369;-1.401502324168866
2003-04-01;0.0;31.416666666666668;16.466666666666665;23.941666666666666;0;106.49973257976413;-106.49973257976413;-0.5244005127080409;-1.1815429009416536;-0.375210636668194;-1.2950064989430867
2003-05-01;8.7;33.62903225806452;17.70967741935484;25.66935483870968;0;129.69715244688118;-120.99715244688117;-0.4004569315621012;-1.2430202078265384;-0.9764173502869252;-1.4919794758555849
2003-06-01;211.10999999999999;29.533333333333335;16.8;23.166666666666668;0;98.55005127923405;112.55994872076593;0.2672460299373792;-0.5567283228018971;0.11221292240851873;-0.6305460439637102
2003-07-01;344.6;27.177419354838708;16.35483870967742;21.766129032258064;0;87.91210904358338;256.68789095641665;0.747514099601396;0.0029506881129968045;0.7616212992129087;0.04411393003307891
2003-08-01;151.81;27.274193548387096;16.467741935483872;21.870967741935484;0;88.91365884899415;62.896341151005856;0.26055915464878443;-0.05281736138580881;0.3113392599031907;-0.09756041524975406
2003-09-01;222.8;26.333333333333332;16.7;21.516666666666666;0;82.79531535581675;140.00468464418327;0.3971370206265107;0.3078708613374345;0.4234324381502377;0.2992466561359894
2003-10-01;35.7;26.225806451612904;15.596774193548388;20.911290322580648;0;79.98822820105363;-44.28822820105363;-0.41031239686449433;0.12631237598267875;-0.375139597569569;0.14663912582695374
2003-11-01;16.7;26.833333333333332;13.883333333333333;20.358333333333334;0;72.6685967080367;-55.9685967080367;0.2438582114147396;0.0040231220441300725;0.2237603887000764;-0.06305356690890145
2003-12-01;0.0;24.322580645161292;9.435483870967742;16.879032258064516;0;48.27178840615492;-48.27178840615492;-0.30020868374010684;0.06663945446452785;-0.2878118336805669;0.0335972011355687
2004-01-01;37.1;22.161290322580644;10.483870967741936;16.32258064516129;0;46.959875531763736;-9.859875531763734;0.5325681788340092;0.21082355378748333;0.8231657734586796;0.1786156595418944
2004-02-01;0.5;25.32758620689655;10.5;17.913793103448278;0;54.149759435819796;-53.649759435819796;0.9744304458267542;0.30944314809432205;0.7929014388467962;0.3292760359429919
2004-03-01;6.6;28.822580645161292;14.241935483870968;21.532258064516128;0;87.54139926994908;-80.94139926994909;1.0871189536918289;0.3222564296503784;0.6970507593105805;0.2522104102070115
2004-04-01;0.0;29.366666666666667;14.766666666666667;22.066666666666666;0;89.51840236996036;-89.51840236996036;0.4858502123132596;0.3318867973097768;0.3350308164318119;0.34386698928717274
2004-05-01;104.0;31.35483870967742;16.903225806451612;24.129032258064516;0;113.08332261005158;-9.083322610051582;1.730426557280285;0.8297313379440944;1.3717538748723852;0.7611359170207433
2004-06-01;440.9;27.233333333333334;15.783333333333333;21.508333333333333;0;84.50598501581788;356.3940149841821;2.2667613944511977;1.5510077830454752;2.0459629039769793;1.3344208359262444
2004-07-01;182.4;27.193548387096776;16.580645161290324;21.88709677419355;0;90.81844748848326;91.58155251151675;1.7957077163580544;0.04300348428905228;1.6576999317478296;1.0744885428420121
2004-08-01;317.90000000000003;27.548387096774192;16.29032258064516;21.919354838709676;0;91.11967938371157;226.78032061628846;2.0007071938554017;1.7746479510535733;1.9612025790781298;1.6517878846942304
2004-09-01;447.5;26.333333333333332;16.233333333333334;21.28333333333333;0;82.53129999650804;364.96870000349196;1.902761199130672;2.2524586627522183;1.7688357097438154;1.9547534543939498
2004-10-01;22.0;27.06451612903226;16.112903225806452;21.588709677419356;0;88.05827707548758;-66.05827707548758;2.1097462020961473;2.2357080653827937;1.7232685689879;1.9076466814966189
2004-11-01;0.0;25.983333333333334;12.866666666666667;19.425;0;67.20545232404167;-67.20545232404167;1.9035415338327115;2.1543815697672377;1.737998289809423;1.8776880016125275
2004-12-01;8.399999999999999;23.403225806451612;11.112903225806452;17.258064516129032;0;53.22872064968327;-44.82872064968327;-0.8548735905013629;2.129270690019174;-1.2139549433424945;1.78174795579652
2005-01-01;3.2;24.258064516129032;11.14516129032258;17.701612903225808;0;53.763319595851236;-50.56331959585123;-0.45529542045331123;2.0350364488540222;-0.4514580365831041;1.7879023017669753
2005-02-01;20.2;24.035714285714285;12.660714285714286;18.348214285714285;0;52.86796386551982;-32.66796386551982;0.8957869260596608;1.9388462550437415;0.5301555645363404;1.5135546328626912
2005-03-01;2.6;27.451612903225808;12.709677419354838;20.080645161290324;0;72.48029587914601;-69.88029587914602;0.7882797995892861;1.9939769212013458;0.5973971903051354;1.735539858746898
2005-04-01;0.0;31.816666666666666;16.316666666666666;24.066666666666666;0;107.71294156197862;-107.71294156197862;1.0198252385544742;1.9479513638425463;0.6354317354230227;1.6488722325150778
2005-05-01;7.0;31.967741935483872;16.919354838709676;24.443548387096776;0;115.47675653800334;-108.47675653800334;-0.3516221753519558;1.6344570490405599;-0.3419818828987486;1.4333917171035953
2005-06-01;94.7;32.15;18.466666666666665;25.30833333333333;0;121.34538637135856;-26.645386371358555;-1.2147476672470578;0.6815797483619204;-1.4738660187499795;0.5330270912365644
2005-07-01;345.61;28.241935483870968;16.467741935483872;22.35483870967742;0;93.45390809676572;252.1560919032343;-0.17596817312106594;0.05891636805960493;-0.3043117242650785;1.1162587809641966
2005-08-01;254.8;26.370967741935484;16.56451612903226;21.467741935483872;0;84.9062123529601;169.89378764703991;0.16534777715495041;0.9782669142926231;0.012124949897991129;0.8015572250828007
2005-09-01;143.2;27.05;16.533333333333335;21.791666666666668;0;85.1347222848894;58.06527771511058;0.5837950695632588;-0.487374000629195;0.5888464737114494;-0.5992021099857179
2005-10-01;70.5;27.129032258064516;15.53225806451613;21.330645161290324;0;83.6273286427082;-13.127328642708207;0.14623466943245897;-0.21641770012713443;0.2121325158825974;-0.30318179067141326
2005-11-01;0.0;26.45;13.233333333333333;19.841666666666665;0;68.1808248986488;-68.1808248986488;-0.46570933205932946;-0.2129384502056562;-0.5842382800245046;-0.30540906838231024
2005-12-01;0.0;24.467741935483872;11.306451612903226;17.887096774193548;0;55.107441816669436;-55.107441816669436;0.07951854354867612;-0.1966632273860253;0.0021096403390301935;-0.2777465996482415
2006-01-01;1.4000000000000001;25.096774193548388;9.870967741935484;17.483870967741936;0;52.678476439936794;-51.278476439936796;-1.155003245045529;-0.2757306031767292;-1.054048186007919;-0.41128053187687585
2006-02-01;0.0;27.892857142857142;12.892857142857142;20.392857142857142;0;68.27917296189398;-68.27917296189398;-0.021058287392157617;-0.3228611273505479;-0.975582062875382;-0.5819719218881432
2006-03-01;0.0;29.177419354838708;14.096774193548388;21.637096774193548;0;86.8665893802971;-86.8665893802971;-0.15439366771385737;-0.3841220224254368;-1.376749945801773;-0.8410248661182593
2006-04-01;0.0;32.166666666666664;16.733333333333334;24.45;0;111.98972216782255;-111.98972216782255;-0.5244005127080409;-0.3546004569601798;-2.409983344891985;-0.8459450101981845
2006-05-01;2.9;31.822580645161292;17.225806451612904;24.524193548387096;0;116.54848797165536;-113.64848797165536;-0.8233958477909896;-0.1380479264539519;-1.3131761436855047;-0.90643744326826
2006-06-01;221.6;29.9;16.616666666666667;23.258333333333333;0;99.59849844507208;122.00150155492791;0.30893880803112805;0.3772512924313319;0.22167596194196662;0.18434827454600786
2006-07-01;181.21;28.129032258064516;16.322580645161292;22.225806451612904;0;92.51509311661634;88.69490688338367;-0.5576407389477579;-0.029809350261069706;-0.5086054393743281;-0.8772239391703021
2006-08-01;353.90000000000003;26.596774193548388;15.96774193548387;21.282258064516128;0;83.5603036430918;270.33969635690823;0.6350664260965583;-0.212078545044327;0.6972989043564333;-0.3600224100332315
2006-09-01;146.71;26.633333333333333;16.383333333333333;21.508333333333333;0;82.89512420222272;63.81487579777729;0.09375148320851359;-0.08086707119617416;0.10331628739250119;-0.21508806301194322
2006-10-01;162.20000000000002;26.241935483870968;15.064516129032258;20.653225806451612;0;77.87931847149972;84.3206815285003;1.4704079676417698;0.3892424763004707;1.3884184736771024;0.2992827156433529
2006-11-01;14.4;25.033333333333335;12.55;18.791666666666668;0;60.3825486999595;-45.9825486999595;0.7185691019108275;0.43866093648163335;0.8591527609721158;0.3834652514087365
2006-12-01;10.6;23.596774193548388;10.564516129032258;17.080645161290324;0;49.871532127314545;-39.27153212731454;1.7640322447615717;0.5387882213689065;1.5890885781508055;0.5290957301671652
2007-01-01;14.299999999999999;23.274193548387096;10.82258064516129;17.048387096774192;0;50.89167033093732;-36.591670330937326;0.28420362991370207;0.5796720868942894;0.6896847571229694;0.5527827244256963
2007-02-01;11.5;25.5;11.125;18.3125;0;54.144273241999365;-42.644273241999365;0.9588305198532594;0.6940134409278932;0.6926891901392547;0.6870015905530948
2007-03-01;0.0;29.129032258064516;13.85483870967742;21.491935483870968;0;86.47941071628276;-86.47941071628276;0.7843640705201962;0.6921213836134318;0.41739542737492746;0.6998453130018418
